"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
37,150;0,35;-0,81;1,30
37,200;0,31;-0,74;1,89
37,250;0,28;-0,62;2,45
37,300;0,25;-0,48;2,83
37,350;0,23;-0,33;3,04
37,400;0,22;-0,18;3,18
37,450;0,21;-0,01;3,26
37,500;0,21;0,15;3,25
37,550;0,23;0,31;3,13
37,600;0,24;0,47;2,91
37,650;0,27;0,61;2,51
37,700;0,31;0,73;1,94
37,750;0,35;0,80;1,34
37,800;0,39;0,86;0,81
37,850;0,43;0,89;0,30
37,900;0,48;0,89;-0,29
37,950;0,52;0,86;-0,90
38,000;0,57;0,80;-1,45
38,050;0,60;0,71;-1,92
38,100;0,64;0,60;-2,32
38,150;0,67;0,48;-2,63
38,200;0,69;0,34;-2,84
38,250;0,70;0,19;-2,97
38,300;0,70;0,04;-3,03
38,350;0,70;-0,11;-3,02
38,400;0,69;-0,27;-2,92
38,450;0,68;-0,41;-2,74
38,500;0,65;-0,54;-2,47
38,550;0,62;-0,66;-2,12
38,600;0,58;-0,76;-1,68
38,650;0,54;-0,83;-1,16
38,700;0,50;-0,88;-0,58
38,750;0,46;-0,89;0,03
38,800;0,41;-0,87;0,60
38,850;0,37;-0,83;1,11
38,900;0,33;-0,76;1,64
38,950;0,29;-0,67;2,22
39,000;0,26;-0,54;2,72
39,050;0,24;-0,38;3,02
39,100;0,22;-0,23;3,10
39,150;0,21;-0,07;3,12
39,200;0,21;0,08;3,18
39,250;0,22;0,24;3,23
39,300;0,24;0,41;3,11
39,350;0,26;0,57;2,69
39,400;0,30;0,69;2,08
39,450;0,33;0,77;1,50
39,500;0,37;0,83;1,01
39,550;0,42;0,88;0,53
39,600;0,46;0,89;-0,05
39,650;0,51;0,87;-0,67
39,700;0,55;0,82;-1,25
39,750;0,59;0,74;-1,76
39,800;0,63;0,64;-2,17
